real_eye_x,real_eye_y,real_eye_z,real_marker_x,real_marker_y,real_marker_z,timestamp
159.354,141.927,819.778,205,200,92.023,6.763
159.354,141.927,819.778,205,200,92.023,6.815
159.354,141.927,819.778,205,200,92.023,6.853
159.354,141.927,819.778,205,200,92.023,6.905
159.354,141.927,819.778,205,200,92.023,6.947
159.354,141.927,819.778,205,200,92.023,6.983
159.354,141.927,819.778,205,200,92.023,7.028
159.354,141.927,819.778,205,200,92.023,7.059
159.354,141.927,819.778,205,200,92.023,7.102
159.354,141.927,819.778,205,200,92.023,7.14
159.354,141.927,819.778,205,200,92.023,7.176
159.354,141.927,819.778,205,200,92.023,7.222
159.354,141.927,819.778,205,200,92.023,7.255
159.354,141.927,819.778,205,200,92.023,7.299
159.354,141.927,819.778,205,200,92.023,7.34
159.354,141.927,819.778,205,200,92.023,7.376
159.354,141.927,819.778,205,200,92.023,7.421
159.354,141.927,819.778,205,200,92.023,7.453
159.354,141.927,819.778,205,200,92.023,7.495
159.354,141.927,819.778,205,200,92.023,7.53
159.354,141.927,819.778,205,200,92.023,7.583
159.354,141.927,819.778,205,200,92.023,7.627
159.354,141.927,819.778,205,200,92.023,7.662
159.354,141.927,819.778,205,200,92.023,7.716
159.354,141.927,819.778,205,200,92.023,7.757
159.354,141.927,819.778,205,200,92.023,7.793
159.354,141.927,819.778,205,200,92.023,7.848
159.354,141.927,819.778,205,200,92.023,7.9
159.354,141.927,819.778,205,200,92.023,7.941
159.354,141.927,819.778,205,200,92.023,7.985
159.354,141.927,819.778,205,200,92.023,8.027
159.354,141.927,819.778,205,200,92.023,8.06
159.354,141.927,819.778,205,200,92.023,8.102
159.354,141.927,819.778,205,200,92.023,8.144
159.354,141.927,819.778,205,200,92.023,8.177
159.354,141.927,819.778,205,200,92.023,8.225
159.354,141.927,819.778,205,200,92.023,8.269
159.354,141.927,819.778,205,200,92.023,8.305
159.354,141.927,819.778,205,200,92.023,8.356
159.354,141.927,819.778,205,200,92.023,8.391
159.354,141.927,819.778,205,200,92.023,8.449
159.354,141.927,819.778,205,200,92.023,8.491
159.354,141.927,819.778,205,200,92.023,8.536
159.354,141.927,819.778,205,200,92.023,8.573
159.354,141.927,819.778,205,200,92.023,8.621
159.354,141.927,819.778,205,200,92.023,8.655
159.354,141.927,819.778,205,200,92.023,8.701
159.354,141.927,819.778,205,200,92.023,8.749
159.354,141.927,819.778,205,200,92.023,8.785
159.354,141.927,819.778,205,200,92.023,8.83
159.354,141.927,819.778,205,200,92.023,8.862
159.354,141.927,819.778,205,200,92.023,8.909
159.354,141.927,819.778,205,200,92.023,8.959
159.354,141.927,819.778,205,200,92.023,9.016
159.354,141.927,819.778,180,100,92.023,9.05
159.354,141.927,819.778,180,100,92.023,9.091
159.354,141.927,819.778,180,100,92.023,9.127
159.354,141.927,819.778,180,100,92.023,9.169
159.354,141.927,819.778,180,100,92.023,9.215
159.354,141.927,819.778,180,100,92.023,9.267
159.354,141.927,819.778,180,100,92.023,9.305
159.354,141.927,819.778,180,100,92.023,9.359
159.354,141.927,819.778,180,100,92.023,9.391
159.354,141.927,819.778,180,100,92.023,9.434
159.354,141.927,819.778,180,100,92.023,9.487
159.354,141.927,819.778,180,100,92.023,9.514
159.354,141.927,819.778,180,100,92.023,9.55
159.354,141.927,819.778,180,100,92.023,9.573
159.354,141.927,819.778,180,100,92.023,9.606
159.354,141.927,819.778,180,100,92.023,9.641
159.354,141.927,819.778,180,100,92.023,9.679
159.354,141.927,819.778,180,100,92.023,9.75
159.354,141.927,819.778,180,100,92.023,9.783
159.354,141.927,819.778,180,100,92.023,9.825
159.354,141.927,819.778,180,100,92.023,9.858
159.354,141.927,819.778,180,100,92.023,9.903
159.354,141.927,819.778,180,100,92.023,9.945
159.354,141.927,819.778,180,100,92.023,9.995
159.354,141.927,819.778,180,100,92.023,10.035
159.354,141.927,819.778,180,100,92.023,10.076
159.354,141.927,819.778,180,100,92.023,10.114
159.354,141.927,819.778,180,100,92.023,10.155
159.354,141.927,819.778,180,100,92.023,10.189
159.354,141.927,819.778,180,100,92.023,10.245
159.354,141.927,819.778,180,100,92.023,10.32
159.354,141.927,819.778,180,100,92.023,10.372
159.354,141.927,819.778,180,100,92.023,10.415
159.354,141.927,819.778,180,100,92.023,10.449
159.354,141.927,819.778,180,100,92.023,10.504
159.354,141.927,819.778,180,100,92.023,10.557
159.354,141.927,819.778,180,100,92.023,10.59
159.354,141.927,819.778,180,100,92.023,10.646
159.354,141.927,819.778,180,100,92.023,10.691
159.354,141.927,819.778,180,100,92.023,10.739
159.354,141.927,819.778,180,100,92.023,10.773
159.354,141.927,819.778,180,100,92.023,10.82
159.354,141.927,819.778,180,100,92.023,10.852
159.354,141.927,819.778,180,100,92.023,10.894
159.354,141.927,819.778,180,100,92.023,10.927
159.354,141.927,819.778,180,100,92.023,10.973
159.354,141.927,819.778,180,100,92.023,11.017
159.354,141.927,819.778,180,100,92.023,11.052
159.354,141.927,819.778,180,100,92.023,11.096
159.354,141.927,819.778,180,100,92.023,11.141
159.354,141.927,819.778,180,100,92.023,11.173
159.354,141.927,819.778,180,100,92.023,11.217
159.354,141.927,819.778,180,100,92.023,11.263
159.354,141.927,819.778,180,100,92.023,11.319
159.354,141.927,819.778,180,100,92.023,11.37
159.354,141.927,819.778,180,100,92.023,11.434
159.354,141.927,819.778,180,100,92.023,11.476
159.354,141.927,819.778,180,100,92.023,11.514
159.354,141.927,819.778,180,100,92.023,11.566
159.354,141.927,819.778,180,100,92.023,11.611
159.354,141.927,819.778,180,100,92.023,11.647
159.354,141.927,819.778,180,100,92.023,11.699
159.354,141.927,819.778,180,100,92.023,11.74
159.354,141.927,819.778,180,100,92.023,11.779
159.354,141.927,819.778,180,100,92.023,11.831
159.354,141.927,819.778,180,100,92.023,11.867
159.354,141.927,819.778,180,100,92.023,11.909
159.354,141.927,819.778,180,100,92.023,11.952
159.354,141.927,819.778,180,100,92.023,11.996
159.354,141.927,819.778,180,100,92.023,12.045
159.354,141.927,819.778,230,100,92.023,12.087
159.354,141.927,819.778,230,100,92.023,12.129
159.354,141.927,819.778,230,100,92.023,12.17
159.354,141.927,819.778,230,100,92.023,12.217
159.354,141.927,819.778,230,100,92.023,12.267
159.354,141.927,819.778,230,100,92.023,12.304
159.354,141.927,819.778,230,100,92.023,12.35
159.354,141.927,819.778,230,100,92.023,12.385
159.354,141.927,819.778,230,100,92.023,12.43
159.354,141.927,819.778,230,100,92.023,12.473
159.354,141.927,819.778,230,100,92.023,12.5
159.354,141.927,819.778,230,100,92.023,12.537
159.354,141.927,819.778,230,100,92.023,12.569
159.354,141.927,819.778,230,100,92.023,12.605
159.354,141.927,819.778,230,100,92.023,12.659
159.354,141.927,819.778,230,100,92.023,12.707
159.354,141.927,819.778,230,100,92.023,12.752
159.354,141.927,819.778,230,100,92.023,12.787
159.354,141.927,819.778,230,100,92.023,12.834
159.354,141.927,819.778,230,100,92.023,12.878
159.354,141.927,819.778,230,100,92.023,12.915
